Sample_No,Location,Study_Area,Gully_Present,LL (%),PL (%),PI (%)
1,Urum,Awka,0,103,35,68
2,Unizik,Awka,0,105,34,71
3,Mgbakwu,Awka,0,104,34,70
4,Egbagu,Awka,0,103,35,68
5,Okpuno Awka,Awka,0,102,35,67
6,Achalla South,Awka,0,98,38,60
7,Amanuke,Awka,0,99,37,62
8,Akemu,Awka,0,97,39,58
9,Oba - Umulokpe,Awka,0,97,40,57
10,Agulu,Awka,0,96,38,58
11,Millenium City,Awka,0,98,33,65
12,Umuawulu,Awka,0,100,33,67
13,Ezinator,Awka,0,96,34,62
14,Achalla North,Awka,0,98,33,65
15,Oye-Agu,Awka,0,99,33,66
16,Ifite-Ogwari,Awka,0,99,33,66
17,Isu - Aniocha,Awka,0,97,32,65
18,Aguawka,Awka,0,99,33,66
19,Amansea,Awka,0,99,31,68
20,Ifite-Awka,Awka,0,98,32,66
