Sample_No,Location,Study_Area,Gully_Present,S4_Sieve size (mm),S4_% wt. Passing,S8_Sieve size (mm),S8_% wt. Passing,S16_Sieve size (mm),S16_% wt. Passing,S30_Sieve size (mm),S30_% wt. Passing,S50_Sieve size (mm),S50_% wt. Passing,S100_Sieve size (mm),S100_% wt. Passing,S200_Sieve size (mm),S200_% wt. Passing
1,Akama,Idemili,1,2.36,97,1.18,86,0.6,67,0.3,31,0.15,20,0.075,12,0.063,1.4
2,Amadumu,Idemili,1,2.36,97,1.18,84,0.6,77,0.3,41,0.15,29,0.075,20,0.063,2.6
3,Awuda,Idemili,1,2.36,99,1.18,86,0.6,77,0.3,38,0.15,23,0.075,15,0.063,0.3
4,Ebenesi,Idemili,1,2.36,98,1.18,87,0.6,77,0.3,38,0.15,23,0.075,15,0.063,0.4
5,Ekele,Idemili,1,2.36,97,1.18,84,0.6,66,0.3,31,0.15,19,0.075,11,0.063,0.7
6,Ezelle,Idemili,1,2.36,97,1.18,83,0.6,64,0.3,32,0.15,17,0.075,10,0.063,1
7,Ezema,Idemili,1,2.36,98,1.18,85,0.6,63,0.3,37,0.15,27,0.075,9,0.063,0.9
8,Abacha,Idemili,1,2.36,97,1.18,84,0.6,66,0.3,31,0.15,19,0.075,11,0.063,0.5
9,Ideani,Idemili,1,2.36,95,1.18,82,0.6,55,0.3,32,0.15,18,0.075,10,0.063,1.3
10,Eziowelle,Idemili,1,2.36,95,1.18,72,0.6,49,0.3,28,0.15,14,0.075,7.9,0.063,0.5
11,Nkpor Junction Area,Idemili,1,2.36,96,1.18,85,0.6,52,0.3,26,0.15,14,0.075,6.3,0.063,0.9
12,Nkolofia,Idemili,1,2.36,99,1.18,74,0.6,51,0.3,33,0.15,13,0.075,7.3,0.063,1.2
13,Ogbogu Alor,Idemili,1,2.36,98,1.18,78,0.6,47,0.3,24,0.15,10,0.075,5.8,0.063,0.6
14,Oraukwu,Idemili,1,2.36,98,1.18,84,0.6,53,0.3,29,0.15,12,0.075,6.6,0.063,0.7
15,Abatete,Idemili,1,2.36,98,1.18,76,0.6,51,0.3,30,0.15,13,0.075,8.8,0.063,0.7
16,Obosi,Idemili,1,2.36,98,1.18,77,0.6,51,0.3,29,0.15,13,0.075,7.2,0.063,0.4
17,Ojoto,Idemili,1,2.36,95,1.18,80,0.6,56,0.3,32,0.15,17,0.075,11,0.063,0.6
18,Ogidi,Idemili,1,2.36,96,1.18,79,0.6,48,0.3,32,0.15,17,0.075,12,0.063,1.4
19,Nnobi,Idemili,1,2.36,98,1.18,71,0.6,45,0.3,23,0.15,11,0.075,6.5,0.063,0.5
20,Uke,Idemili,1,2.36,96,1.18,74,0.6,47,0.3,19,0.15,8.2,0.075,4.6,0.063,0.8
