Sample_No,Location,Study_Area,Quartz_Score,Kaolinite_Score,Illite_Score,Montmorillonite_Score,,
1,Urum,Awka,28,10,29,31,,
2,Mgbakwu,Awka,61,41,0,9,,
3,Egbagu,Awka,66,23,0,21,,
4,Okpuno-Awka,Awka,52,18,0,39,,
5,Achalla South,Awka,28,10,29,31,,
6,Amanuke,Awka,61,41,0,9,,
7,Akenu,Awka,66,23,0,21,,
8,Oba-Umulokpe,Awka,52,18,0,39,,
9,Agulu,Awka,28,10,29,31,,
10,Millinium City,Awka,61,41,0,9,,
11,Umuawulu,Awka,66,23,0,21,,
12,Ezinator,Awka,52,18,0,39,,
13,Achalla North,Awka,28,10,29,31,,
14,Oye-Agu,Awka,61,41,0,9,,
15,Ifite-Ogwari,Awka,66,23,0,21,,
16,Isu-Aniocha,Awka,52,18,0,39,,
17,Aguawka,Awka,28,10,29,31,,
18,Amansea,Awka,61,41,0,9,,
19,Ifite Awka,Awka,66,23,0,21,,
20,Unizik,Awka,52,18,0,39,,
21,Akama,Idemili,78,16,0,0,,
22,Amadumu,Idemili,80,12,0,0,,
23,Awuda,Idemili,76,11,0,0,,
24,Ebenesi,Idemili,82,13,0,0,,
25,Ekele,Idemili,79,15,0,0,,
26,Ezelle,Idemili,57,38,0,0,,
27,Ezema,Idemili,63,28,0,0,,
28,Abacha,Idemili,69,25,0,0,,
29,Ideani,Idemili,78,16,0,0,,
30,Eziowelle,Idemili,80,12,0,0,,
31,Nkpor Junction area,Idemili,76,11,0,0,,
32,Nkolofia,Idemili,82,13,0,0,,
33,Ogbogu-Alor,Idemili,79,15,0,0,,
34,Oraukwu,Idemili,57,38,0,0,, 
35,Abatete,Idemili,63,28,0,0,,
36,Obosi,Idemili,69,25,0,0,,
37,Ojoto,Idemili,78,16,0,0,,
38,Ogidi,Idemili,80,12,0,0,,
39,Nnobi,Idemili,76,11,0,0,,
40,Uke,Idemili,82,13,0,0,,
