Sample_No,Location,Study_Area,SiO2 (%),Al2O3 (%),Fe2O3 (%),TiO2 (%),MgO (%),CaO (%),Na2O (%),K2O (%),Cl (%),ZrO2 (%),BaO (%),PbO (%)
1,Urum,Akwa,67.26,14.84,3.47,0.91,1.13,0.17,0.01,3.39,0.01,0,0.01,0.021
2,Mgbakwu,Akwa,54.91,22.87,3.5,1.26,0.65,0.32,0.04,0.81,0.01,0,0.02,0.001
3,Egbagu,Akwa,49.91,18.87,5.5,1.71,3.25,1.32,0.04,0.81,0.01,0,0.01,0.024
4,Okpuno Akwa,Akwa,53.13,20.17,4.62,1.09,1.89,0.13,0.03,0.84,0.01,0,0.01,0.03
5,Achalla South,Akwa,61.15,14.23,3.93,0.88,1.2,0.95,0.05,1.91,0.01,0,0.01,0.02
6,Amanuke,Akwa,60.2,21.28,3.31,0.94,2.78,0.54,0.02,1.68,0.01,0,0.01,0.026
7,Akenu,Akwa,67.49,17.41,4.57,1.07,2.84,1.18,0.03,0.88,0.01,0,0.01,0.013
8,ObaUmulokpe,Akwa,52.98,16.4,5.45,1.79,2.35,0.33,0.04,1.79,0.01,0,0.01,0.027
9,Agulu,Akwa,49.61,16.84,3.92,1.72,1.17,1.2,0.02,1.84,0.01,0,0.02,0.032
10,MilleniumCity,Akwa,53.17,22.98,4.47,1.21,0.85,0.89,0.04,0.92,0.01,0,0.01,0.001
11,Umuawulu,Akwa,61.95,18.83,3.91,1.33,2.33,0.68,0.05,1.47,0.01,0,0.02,0.022
12,Ezinator,Akwa,63.49,18.85,5.09,1.14,2.03,0.14,0.05,3.04,0.01,0,0.02,0.003
13,Achalla North,Akwa,63.55,15.16,4.39,1.54,2.08,1.19,0.03,2.23,0.01,0,0.03,0.016
14,Oye Agu,Akwa,51.3,16.02,4.08,1.71,2.19,0.39,0.01,1.38,0.01,0,0.01,0.033
15,Ifite Ogwari,Akwa,57.98,21.06,5.16,1.78,1.11,0.64,0.03,2.6,0.01,0,0.01,0.016
16,Isu Aniocha,Akwa,54.29,16.25,5.42,1.77,1.8,0.8,0.01,3.05,0.01,0,0.02,0.003
17,Agwaka,Akwa,67.72,16.39,5.1,1,1.83,1.3,0.05,2.73,0.01,0,0.05,0.026
18,Amansea,Akwa,60.1,18.53,5.26,1.07,1.03,0.22,0.02,2.61,0.01,0,0.06,0.015
19,Ifite Awka,Akwa,58.93,22.41,3.77,1.56,2.53,0.61,0.04,1.62,0.01,0,0.02,0.003
20,Unizik,Akwa,54.04,22.4,5.33,1.79,2.97,0.31,0.04,2.43,0.01,0,0.02,0.006
21,Akama,Idemili,74.24,13.55,2.39,1.65,0.123,0.578,0.019,0.008,1.08,0.406,0.41,0.016
22,Amadumu,Idemili,73.99,13.49,4.14,1.52,0.12,0.19,0.027,0.02,0.967,0.297,0.6,0.068
23,Awuda,Idemili,75.065,14.745,2.93,8.425,0.1325,0.6395,0.023,0.008,1.369,0.611,0.35,0.016
24,Ebenesi,Idemili,71.8,13.48,2.43,1.63,0.034,0.084,0.04,0.02,3.33,0.246,0.78,0.054
25,Ekele,Idemili,74.05,13.6,4.36,1.42,0.15,0.24,0.061,0.02,1.32,0.198,0.67,0.047
26,Ezelle,Idemili,72.925,13.54,3.395,1.525,0.092,0.162,0.0505,0.02,2.325,0.222,0.725,0.0505
27,Ezema,Idemili,69.22,13.5,4.88,1.43,0.24,0.47,0.037,0.01,1.3,0.252,0.81,0.088
28,Abacha,Idemili,71.0725,13.52,4.1375,1.4775,0.166,0.316,0.04375,0.015,1.8125,0.237,0.7675,0.06925
29,Ideani,Idemili,69.696,13.49,3.873,5.328,0.17,0.196,0.0282,0.015,2.694,0.192,0.71,0.0531
30,Eziowelle,Idemili,72.586,13.017,2.496,4.437,0.15,0.595,0.0567,0.016,3.108,0.56,0.771,0.0525
31,Nkpor Junction Area,Idemili,74.071,13.731,3.914,7.677,0.22,0.61,0.0638,0.019,1.286,0.59,0.725,0.016
32,Nkolofia,Idemili,70.734,13.195,4.568,6.99,0.21,0.207,0.038,0.012,3.046,0.562,0.804,0.0721
33,Ogbogu Alor,Idemili,75.377,14.691,2.6,5.207,0.242,0.182,0.0283,0.01,3.326,0.356,0.617,0.0754
34,Oraukwu,Idemili,75.016,14.295,4.229,5.223,0.045,0.288,0.0482,0.013,2.577,0.366,0.533,0.0464
35,Abatete,Idemili,75.112,14.625,3.9,6.209,0.03,0.392,0.0293,0.014,1.652,0.282,0.567,0.016
36,Obosi,Idemili,70.103,13.928,3.946,2.002,0.195,0.547,0.0486,0.011,1.738,0.221,0.539,0.0497
37,Ojoto,Idemili,72.213,14.181,2.314,3.132,0.053,0.519,0.0363,0.01,2.777,0.386,0.725,0.0894
38,Ogidi,Idemili,75.175,14.103,4.17,7.729,0.151,0.553,0.0599,0.018,2.162,0.414,0.641,0.0439
39,Nnobi,Idemili,70.766,13.972,2.66,3.67,0.185,0.476,0.0182,0.014,1.478,0.441,0.674,0.016
40,Uke,Idemili,71.472,13.633,4.259,1.442,0.122,0.623,0.0524,0.016,3.034,0.482,0.534,0.0634
